item_number,correct,audio_file,SetNr,TargetIns,Comp,LVL,WiT,Condition,TimeStartSec,SongNr,NewStimFileName,ItemNr
p_item1150_set99_wit_lvl-10_comp3_t46_song21,1,p_item1150_set99_wit_lvl-10_comp3_t46_song21.wav,99,Piano,3,-10,wit,12,46,21,p_item1150_set99_wit_lvl-10_comp3_t46_song21,1150
p_item1150_set99_wit_lvl-5_comp3_t46_song21,1,p_item1150_set99_wit_lvl-5_comp3_t46_song21.wav,99,Piano,3,-5,wit,12,46,21,p_item1150_set99_wit_lvl-5_comp3_t46_song21,1150
p_item1150_set99_wit_lvl0_comp3_t46_song21,1,p_item1150_set99_wit_lvl0_comp3_t46_song21.wav,99,Piano,3,0,wit,12,46,21,p_item1150_set99_wit_lvl0_comp3_t46_song21,1150
b_item368_set154_wit_lvl-15_comp6_t170_song21,1,b_item368_set154_wit_lvl-15_comp6_t170_song21.wav,154,Bass,6,-15,wit,14,170,21,b_item368_set154_wit_lvl-15_comp6_t170_song21,368
b_item368_set154_wit_lvl-10_comp6_t170_song21,1,b_item368_set154_wit_lvl-10_comp6_t170_song21.wav,154,Bass,6,-10,wit,14,170,21,b_item368_set154_wit_lvl-10_comp6_t170_song21,368
b_item368_set154_wit_lvl-5_comp6_t170_song21,1,b_item368_set154_wit_lvl-5_comp6_t170_song21.wav,154,Bass,6,-5,wit,14,170,21,b_item368_set154_wit_lvl-5_comp6_t170_song21,368
b_item368_set154_wit_lvl0_comp6_t170_song21,1,b_item368_set154_wit_lvl0_comp6_t170_song21.wav,154,Bass,6,0,wit,14,170,21,b_item368_set154_wit_lvl0_comp6_t170_song21,368
p_item2138_set204_wot_lvl0_comp4_t60_song23,2,p_item2138_set204_wot_lvl0_comp4_t60_song23.wav,204,Piano,3,0,wot,11,60,23,p_item2138_set204_wot_lvl0_comp4_t60_song23,2138
p_item2709_set276_wit_lvl-15_comp3_t32_song23,1,p_item2709_set276_wit_lvl-15_comp3_t32_song23.wav,276,Piano,3,-15,wit,12,32,23,p_item2709_set276_wit_lvl-15_comp3_t32_song23,2709
p_item2709_set276_wit_lvl-10_comp3_t32_song23,1,p_item2709_set276_wit_lvl-10_comp3_t32_song23.wav,276,Piano,3,-10,wit,12,32,23,p_item2709_set276_wit_lvl-10_comp3_t32_song23,2709
p_item2709_set276_wit_lvl-5_comp3_t32_song23,1,p_item2709_set276_wit_lvl-5_comp3_t32_song23.wav,276,Piano,3,-5,wit,12,32,23,p_item2709_set276_wit_lvl-5_comp3_t32_song23,2709
p_item2709_set276_wit_lvl0_comp3_t32_song23,1,p_item2709_set276_wit_lvl0_comp3_t32_song23.wav,276,Piano,3,0,wit,12,32,23,p_item2709_set276_wit_lvl0_comp3_t32_song23,2709
git_item1268_set384_wot_lvl0_comp4_t74_song24,2,git_item1268_set384_wot_lvl0_comp4_t74_song24.wav,384,Guitar,3,0,wot,7,74,24,git_item1268_set384_wot_lvl0_comp4_t74_song24,1268
b_item1856_set809_wot_lvl0_comp4_t252_song25,2,b_item1856_set809_wot_lvl0_comp4_t252_song25.wav,809,Bass,3,0,wot,15,252,25,b_item1856_set809_wot_lvl0_comp4_t252_song25,1856
git_item2284_set715_wot_lvl0_comp7_t152_song26,2,git_item2284_set715_wot_lvl0_comp7_t152_song26.wav,715,Guitar,6,0,wot,5,152,26,git_item2284_set715_wot_lvl0_comp7_t152_song26,2284
b_item2972_set1012_wit_lvl-15_comp6_t212_song26,1,b_item2972_set1012_wit_lvl-15_comp6_t212_song26.wav,1012,Bass,6,-15,wit,14,212,26,b_item2972_set1012_wit_lvl-15_comp6_t212_song26,2972
b_item2972_set1012_wit_lvl-10_comp6_t212_song26,1,b_item2972_set1012_wit_lvl-10_comp6_t212_song26.wav,1012,Bass,6,-10,wit,14,212,26,b_item2972_set1012_wit_lvl-10_comp6_t212_song26,2972
b_item2972_set1012_wit_lvl-5_comp6_t212_song26,1,b_item2972_set1012_wit_lvl-5_comp6_t212_song26.wav,1012,Bass,6,-5,wit,14,212,26,b_item2972_set1012_wit_lvl-5_comp6_t212_song26,2972
b_item2972_set1012_wit_lvl0_comp6_t212_song26,1,b_item2972_set1012_wit_lvl0_comp6_t212_song26.wav,1012,Bass,6,0,wit,14,212,26,b_item2972_set1012_wit_lvl0_comp6_t212_song26,2972
voc_item2500_set485_wot_lvl0_comp7_t82_song27,2,voc_item2500_set485_wot_lvl0_comp7_t82_song27.wav,485,Lead,6,0,wot,1,82,27,voc_item2500_set485_wot_lvl0_comp7_t82_song27,2500
git_item3763_set1074_wot_lvl0_comp7_t198_song27,2,git_item3763_set1074_wot_lvl0_comp7_t198_song27.wav,1074,Guitar,6,0,wot,5,198,27,git_item3763_set1074_wot_lvl0_comp7_t198_song27,3763
b_item395_set166_wot_lvl0_comp7_t224_song27,2,b_item395_set166_wot_lvl0_comp7_t224_song27.wav,166,Bass,6,0,wot,13,224,27,b_item395_set166_wot_lvl0_comp7_t224_song27,395
p_item3079_set358_wit_lvl-15_comp3_t70_song28,1,p_item3079_set358_wit_lvl-15_comp3_t70_song28.wav,358,Piano,3,-15,wit,12,70,28,p_item3079_set358_wit_lvl-15_comp3_t70_song28,3079
p_item3079_set358_wit_lvl-10_comp3_t70_song28,1,p_item3079_set358_wit_lvl-10_comp3_t70_song28.wav,358,Piano,3,-10,wit,12,70,28,p_item3079_set358_wit_lvl-10_comp3_t70_song28,3079
p_item3079_set358_wit_lvl-5_comp3_t70_song28,1,p_item3079_set358_wit_lvl-5_comp3_t70_song28.wav,358,Piano,3,-5,wit,12,70,28,p_item3079_set358_wit_lvl-5_comp3_t70_song28,3079
p_item3079_set358_wit_lvl0_comp3_t70_song28,1,p_item3079_set358_wit_lvl0_comp3_t70_song28.wav,358,Piano,3,0,wit,12,70,28,p_item3079_set358_wit_lvl0_comp3_t70_song28,3079
voc_item3644_set974_wot_lvl0_comp7_t168_song31,2,voc_item3644_set974_wot_lvl0_comp7_t168_song31.wav,974,Lead,6,0,wot,1,168,31,voc_item3644_set974_wot_lvl0_comp7_t168_song31,3644
git_item3791_set1078_wot_lvl0_comp7_t166_song31,2,git_item3791_set1078_wot_lvl0_comp7_t166_song31.wav,1078,Guitar,6,0,wot,5,166,31,git_item3791_set1078_wot_lvl0_comp7_t166_song31,3791
b_item3622_set1150_wot_lvl0_comp7_t182_song31,2,b_item3622_set1150_wot_lvl0_comp7_t182_song31.wav,1150,Bass,6,0,wot,13,182,31,b_item3622_set1150_wot_lvl0_comp7_t182_song31,3622
