audio_file,item_nr,original_item_nr,set_nr,answer,correct,condition,condition_theoretical,level,target_instrument,complexity,with_target_in_mix,time_song,song_nr,song_name,practice_item,discrimination,guessing,inattention,difficulty,item_difficulty,condition_difficulty,number_of_datapoints_per_cond,number_of_datapoints_per_item,time_start_Hz,time_end_Hz,time_start_sec,time_end_sec,instrument_lead,instrument_guitar,instrument_piano,instrument_keys,instrument_backing_vocals,instrument_strings,instrument_winds,instrument_bass,instrument_drums,instrument_percussions,instrument_others,used_in_160er,used_in_32er,used_in_package,flagged_item,item_nr_stim,original_audio_file,item_number
git_item1057_set317_wot_lvl0_comp7_t176_song7.wav,51,327,87,2,2,30,6,0,Guitar,6,no,176,7,Auctioneer-Our_Future_Faces,no,2.086082357,0.43384494,0.997392447,0.672242579,0.672242579,0.22121542,2322,186,7761601,7849800,176,178,0,1,1,0,0,0,1,1,1,1,1,yes,yes,yes,no,1057,Guitar_ItemNr(1057)_SetNr(317)_WoT_Level(0)_Complexity(7)_Time(176)_SongNr(7).wav,git_item3323_set1000_wot_lvl0_comp7_t430_song5
p_item2864_set310_wot_lvl0_comp7_t168_song7.wav,59,329,89,2,2,31,7,0,Piano,6,no,168,7,Auctioneer-Our_Future_Faces,no,2.086082357,0.43384494,0.997392447,-0.787624527,-0.787624527,0.236472021,2322,347,7408801,7497000,168,170,0,1,1,0,0,0,1,1,1,1,1,yes,yes,yes,no,2864,Piano_ItemNr(2864)_SetNr(310)_WoT_Level(0)_Complexity(7)_Time(168)_SongNr(7).wav,git_item2882_set945_wot_lvl0_comp7_t130_song32
b_item3035_set1029_wot_lvl0_comp7_t166_song7.wav,69,326,86,2,2,26,8,0,Bass,6,no,166,7,Auctioneer-Our_Future_Faces,no,2.086082357,0.43384494,0.997392447,-0.629860919,-0.629860919,-0.109736873,2322,208,7320601,7408800,166,168,0,1,1,0,0,0,1,1,1,1,1,yes,yes,yes,no,3035,Bass_ItemNr(3035)_SetNr(1029)_WoT_Level(0)_Complexity(7)_Time(166)_SongNr(7).wav,p_item3062_set354_wot_lvl0_comp7_t228_song104
voc_item2456_set655_wot_lvl0_comp7_t174_song8.wav,48,401,161,2,2,20,5,0,Lead,6,no,174,8,Ava_Luna-Waterduct,no,2.086082357,0.43384494,0.997392447,-0.811817235,-0.811817235,-0.862218064,1704,48,7673400,7761600,174,176,,,,,,,,,,,,no,yes,yes,no,,,
git_item2403_set767_wot_lvl0_comp7_t184_song8.wav,52,330,90,2,2,30,6,0,Guitar,6,no,184,8,Ava_Luna-Waterduct,no,2.086082357,0.43384494,0.997392447,-0.012508844,-0.012508844,0.22121542,2322,187,8114401,8202600,184,186,0,1,0,1,1,0,0,1,1,1,1,yes,yes,yes,no,2403,Guitar_ItemNr(2403)_SetNr(767)_WoT_Level(0)_Complexity(7)_Time(184)_SongNr(8).wav,git_item1057_set317_wot_lvl0_comp7_t176_song7
b_item748_set332_wit_lvl-15_comp3_t98_song10.wav,338,25,7,1,1,39,36,-15,Bass,3,yes,98,10,Big_Troubles-Phantom,no,2.086082357,0.43384494,0.997392447,1.488378123,1.488378123,1.788472675,451,46,4321801,4410000,98,100,0,1,0,0,0,0,0,1,1,0,0,yes,yes,yes,no,748,Bass_ItemNr(748)_SetNr(332)_WiT_Level(-15)_Complexity(3)_Time(98)_SongNr(10).wav,p_item3775_set480_wit_lvl-15_comp3_t122_song104
b_item748_set332_wit_lvl-10_comp3_t98_song10.wav,262,26,7,1,1,37,28,-10,Bass,3,yes,98,10,Big_Troubles-Phantom,no,2.086082357,0.43384494,0.997392447,0.513687071,0.513687071,0.645755458,509,45,4321801,4410000,98,100,0,1,0,0,0,0,0,1,1,0,0,yes,yes,yes,no,748,Bass_ItemNr(748)_SetNr(332)_WiT_Level(-10)_Complexity(3)_Time(98)_SongNr(10).wav,p_item3775_set480_wit_lvl-10_comp3_t122_song104
b_item748_set332_wit_lvl0_comp3_t98_song10.wav,107,28,7,1,1,22,12,0,Bass,3,yes,98,10,Big_Troubles-Phantom,no,2.086082357,0.43384494,0.997392447,-0.540502732,-0.540502732,-0.435162819,557,42,4321801,4410000,98,100,0,1,0,0,0,0,0,1,1,0,0,yes,yes,yes,no,748,Bass_ItemNr(748)_SetNr(332)_WiT_Level(0)_Complexity(3)_Time(98)_SongNr(10).wav,p_item3775_set480_wit_lvl0_comp3_t122_song104
b_item748_set332_wit_lvl-5_comp3_t98_song10.wav,223,27,7,1,1,27,24,-5,Bass,3,yes,98,10,Big_Troubles-Phantom,no,2.086082357,0.43384494,0.997392447,-0.227311123,-0.227311123,-0.056564004,688,52,4321801,4410000,98,100,0,1,0,0,0,0,0,1,1,0,0,yes,yes,yes,no,748,Bass_ItemNr(748)_SetNr(332)_WiT_Level(-5)_Complexity(3)_Time(98)_SongNr(10).wav,p_item3775_set480_wit_lvl-5_comp3_t122_song104
p_item238_set021_wit_lvl-5_comp3_t122_song12.wav,213,31,8,1,1,6,23,-5,Piano,3,yes,122,12,Brandon_Webster-Dont_Hear_A_Thing,no,2.086082357,0.43384494,0.997392447,-1.931232744,-1.931232744,-1.688165158,493,41,5380201,5468400,122,124,1,0,1,0,1,0,0,0,0,0,0,yes,yes,yes,no,238,Piano_ItemNr(238)_SetNr(021)_WiT_Level(-5)_Complexity(3)_Time(122)_SongNr(12).wav,git_item1676_set505_wit_lvl-5_comp3_t162_song114
