item_number,correct,audio_file,set_nr,level,target_instrument,complexity,with_target_in_mix,condition,time_song,song_nr,item_nr,practice_item,old_audio_file_name
voc_item2528_set496_wit_lvl-5_comp6_t232_song14,1,voc_item2528_set496_wit_lvl-5_comp6_t232_song14.wav,496,-5,Lead,6,yes,17,232,14,2528,no,Lead_ItemNr(2528)_SetNr(496)_WiT_Level(-15)_Complexity(6)_Time(232)_SongNr(14).wav
voc_item2528_set496_wit_lvl0_comp6_t232_song14,1,voc_item2528_set496_wit_lvl0_comp6_t232_song14.wav,496,0,Lead,6,yes,13,232,14,2528,no,Lead_ItemNr(2528)_SetNr(496)_WiT_Level(-15)_Complexity(6)_Time(232)_SongNr(14).wav
voc_item3211_set776_wit_lvl-15_comp6_t408_song5,1,voc_item3211_set776_wit_lvl-15_comp6_t408_song5.wav,776,-15,Lead,6,yes,37,408,5,3211,no,Lead_ItemNr(3211)_SetNr(776)_WiT_Level(-15)_Complexity(6)_Time(408)_SongNr(5).wav
voc_item3211_set776_wit_lvl-10_comp6_t408_song5,1,voc_item3211_set776_wit_lvl-10_comp6_t408_song5.wav,776,-10,Lead,6,yes,29,408,5,3211,no,Lead_ItemNr(3211)_SetNr(776)_WiT_Level(-15)_Complexity(6)_Time(408)_SongNr(5).wav
voc_item3211_set776_wit_lvl-5_comp6_t408_song5,1,voc_item3211_set776_wit_lvl-5_comp6_t408_song5.wav,776,-5,Lead,6,yes,17,408,5,3211,no,Lead_ItemNr(3211)_SetNr(776)_WiT_Level(-15)_Complexity(6)_Time(408)_SongNr(5).wav
voc_item3211_set776_wit_lvl0_comp6_t408_song5,1,voc_item3211_set776_wit_lvl0_comp6_t408_song5.wav,776,0,Lead,6,yes,13,408,5,3211,no,Lead_ItemNr(3211)_SetNr(776)_WiT_Level(-15)_Complexity(6)_Time(408)_SongNr(5).wav
voc_item2389_set447_wit_lvl-15_comp3_t20_song21,1,voc_item2389_set447_wit_lvl-15_comp3_t20_song21.wav,447,-15,Lead,3,yes,33,20,21,2389,no,Lead_ItemNr(2389)_SetNr(447)_WiT_Level(-15)_Complexity(3)_Time(20)_SongNr(21).wav
voc_item2389_set447_wit_lvl-10_comp3_t20_song21,1,voc_item2389_set447_wit_lvl-10_comp3_t20_song21.wav,447,-10,Lead,3,yes,25,20,21,2389,no,Lead_ItemNr(2389)_SetNr(447)_WiT_Level(-15)_Complexity(3)_Time(20)_SongNr(21).wav
voc_item2389_set447_wit_lvl-5_comp3_t20_song21,1,voc_item2389_set447_wit_lvl-5_comp3_t20_song21.wav,447,-5,Lead,3,yes,21,20,21,2389,no,Lead_ItemNr(2389)_SetNr(447)_WiT_Level(-15)_Complexity(3)_Time(20)_SongNr(21).wav
voc_item2389_set447_wit_lvl0_comp3_t20_song21,1,voc_item2389_set447_wit_lvl0_comp3_t20_song21.wav,447,0,Lead,3,yes,9,20,21,2389,no,Lead_ItemNr(2389)_SetNr(447)_WiT_Level(-15)_Complexity(3)_Time(20)_SongNr(21).wav
voc_item1261_set217_wit_lvl-15_comp3_t38_song71,1,voc_item1261_set217_wit_lvl-15_comp3_t38_song71.wav,217,-15,Lead,3,yes,33,38,71,1261,no,Lead_ItemNr(1261)_SetNr(217)_WiT_Level(-15)_Complexity(3)_Time(38)_SongNr(71).wav
voc_item1261_set217_wit_lvl-10_comp3_t38_song71,1,voc_item1261_set217_wit_lvl-10_comp3_t38_song71.wav,217,-10,Lead,3,yes,25,38,71,1261,no,Lead_ItemNr(1261)_SetNr(217)_WiT_Level(-15)_Complexity(3)_Time(38)_SongNr(71).wav
voc_item1261_set217_wit_lvl-5_comp3_t38_song71,1,voc_item1261_set217_wit_lvl-5_comp3_t38_song71.wav,217,-5,Lead,3,yes,21,38,71,1261,no,Lead_ItemNr(1261)_SetNr(217)_WiT_Level(-15)_Complexity(3)_Time(38)_SongNr(71).wav
voc_item1261_set217_wit_lvl0_comp3_t38_song71,1,voc_item1261_set217_wit_lvl0_comp3_t38_song71.wav,217,0,Lead,3,yes,9,38,71,1261,no,Lead_ItemNr(1261)_SetNr(217)_WiT_Level(-15)_Complexity(3)_Time(38)_SongNr(71).wav
voc_item180_set034_wit_lvl-15_comp3_t50_song51,1,voc_item180_set034_wit_lvl-15_comp3_t50_song51.wav,34,-15,Lead,3,yes,33,50,51,180,no,Lead_ItemNr(180)_SetNr(034)_WiT_Level(-15)_Complexity(3)_Time(50)_SongNr(51).wav
voc_item180_set034_wit_lvl-10_comp3_t50_song51,1,voc_item180_set034_wit_lvl-10_comp3_t50_song51.wav,34,-10,Lead,3,yes,25,50,51,180,no,Lead_ItemNr(180)_SetNr(034)_WiT_Level(-15)_Complexity(3)_Time(50)_SongNr(51).wav
voc_item180_set034_wit_lvl-5_comp3_t50_song51,1,voc_item180_set034_wit_lvl-5_comp3_t50_song51.wav,34,-5,Lead,3,yes,21,50,51,180,no,Lead_ItemNr(180)_SetNr(034)_WiT_Level(-15)_Complexity(3)_Time(50)_SongNr(51).wav
voc_item180_set034_wit_lvl0_comp3_t50_song51,1,voc_item180_set034_wit_lvl0_comp3_t50_song51.wav,34,0,Lead,3,yes,9,50,51,180,no,Lead_ItemNr(180)_SetNr(034)_WiT_Level(-15)_Complexity(3)_Time(50)_SongNr(51).wav
voc_item1535_set258_wit_lvl-15_comp3_t52_song93,1,voc_item1535_set258_wit_lvl-15_comp3_t52_song93.wav,258,-15,Lead,3,yes,33,52,93,1535,no,Lead_ItemNr(1535)_SetNr(258)_WiT_Level(-15)_Complexity(3)_Time(52)_SongNr(93).wav
voc_item1535_set258_wit_lvl-10_comp3_t52_song93,1,voc_item1535_set258_wit_lvl-10_comp3_t52_song93.wav,258,-10,Lead,3,yes,25,52,93,1535,no,Lead_ItemNr(1535)_SetNr(258)_WiT_Level(-15)_Complexity(3)_Time(52)_SongNr(93).wav
voc_item1535_set258_wit_lvl-5_comp3_t52_song93,1,voc_item1535_set258_wit_lvl-5_comp3_t52_song93.wav,258,-5,Lead,3,yes,21,52,93,1535,no,Lead_ItemNr(1535)_SetNr(258)_WiT_Level(-15)_Complexity(3)_Time(52)_SongNr(93).wav
voc_item1535_set258_wit_lvl0_comp3_t52_song93,1,voc_item1535_set258_wit_lvl0_comp3_t52_song93.wav,258,0,Lead,3,yes,9,52,93,1535,no,Lead_ItemNr(1535)_SetNr(258)_WiT_Level(-15)_Complexity(3)_Time(52)_SongNr(93).wav
voc_item3352_set852_wit_lvl-15_comp3_t86_song36,1,voc_item3352_set852_wit_lvl-15_comp3_t86_song36.wav,852,-15,Lead,3,yes,33,86,36,3352,no,Lead_ItemNr(3352)_SetNr(852)_WiT_Level(-15)_Complexity(3)_Time(86)_SongNr(36).wav
voc_item3352_set852_wit_lvl-10_comp3_t86_song36,1,voc_item3352_set852_wit_lvl-10_comp3_t86_song36.wav,852,-10,Lead,3,yes,25,86,36,3352,no,Lead_ItemNr(3352)_SetNr(852)_WiT_Level(-15)_Complexity(3)_Time(86)_SongNr(36).wav
voc_item3352_set852_wit_lvl-5_comp3_t86_song36,1,voc_item3352_set852_wit_lvl-5_comp3_t86_song36.wav,852,-5,Lead,3,yes,21,86,36,3352,no,Lead_ItemNr(3352)_SetNr(852)_WiT_Level(-15)_Complexity(3)_Time(86)_SongNr(36).wav
voc_item3352_set852_wit_lvl0_comp3_t86_song36,1,voc_item3352_set852_wit_lvl0_comp3_t86_song36.wav,852,0,Lead,3,yes,9,86,36,3352,no,Lead_ItemNr(3352)_SetNr(852)_WiT_Level(-15)_Complexity(3)_Time(86)_SongNr(36).wav
voc_item3510_set924_wit_lvl-15_comp3_t120_song87,1,voc_item3510_set924_wit_lvl-15_comp3_t120_song87.wav,924,-15,Lead,3,yes,33,120,87,3510,no,Lead_ItemNr(3510)_SetNr(924)_WiT_Level(-15)_Complexity(3)_Time(120)_SongNr(87).wav
voc_item3510_set924_wit_lvl-10_comp3_t120_song87,1,voc_item3510_set924_wit_lvl-10_comp3_t120_song87.wav,924,-10,Lead,3,yes,25,120,87,3510,no,Lead_ItemNr(3510)_SetNr(924)_WiT_Level(-15)_Complexity(3)_Time(120)_SongNr(87).wav
voc_item3510_set924_wit_lvl-5_comp3_t120_song87,1,voc_item3510_set924_wit_lvl-5_comp3_t120_song87.wav,924,-5,Lead,3,yes,21,120,87,3510,no,Lead_ItemNr(3510)_SetNr(924)_WiT_Level(-15)_Complexity(3)_Time(120)_SongNr(87).wav
voc_item3510_set924_wit_lvl0_comp3_t120_song87,1,voc_item3510_set924_wit_lvl0_comp3_t120_song87.wav,924,0,Lead,3,yes,9,120,87,3510,no,Lead_ItemNr(3510)_SetNr(924)_WiT_Level(-15)_Complexity(3)_Time(120)_SongNr(87).wav
voc_item2121_set380_wit_lvl-15_comp3_t122_song20,1,voc_item2121_set380_wit_lvl-15_comp3_t122_song20.wav,380,-15,Lead,3,yes,33,122,20,2121,no,Lead_ItemNr(2121)_SetNr(380)_WiT_Level(-15)_Complexity(3)_Time(122)_SongNr(20).wav
voc_item2121_set380_wit_lvl-10_comp3_t122_song20,1,voc_item2121_set380_wit_lvl-10_comp3_t122_song20.wav,380,-10,Lead,3,yes,25,122,20,2121,no,Lead_ItemNr(2121)_SetNr(380)_WiT_Level(-15)_Complexity(3)_Time(122)_SongNr(20).wav
voc_item2121_set380_wit_lvl-5_comp3_t122_song20,1,voc_item2121_set380_wit_lvl-5_comp3_t122_song20.wav,380,-5,Lead,3,yes,21,122,20,2121,no,Lead_ItemNr(2121)_SetNr(380)_WiT_Level(-15)_Complexity(3)_Time(122)_SongNr(20).wav
voc_item2121_set380_wit_lvl0_comp3_t122_song20,1,voc_item2121_set380_wit_lvl0_comp3_t122_song20.wav,380,0,Lead,3,yes,9,122,20,2121,no,Lead_ItemNr(2121)_SetNr(380)_WiT_Level(-15)_Complexity(3)_Time(122)_SongNr(20).wav
